Lease_Number,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6
0026706,4,O&G,AC,1,RELINQ09/09/2014,59.0
0023360,4,O&G,AC,2,RELINQ11/27/2007,2806.0
0032914,4,O&G,AC,3,RELINQ10/28/2015,59.0
0026707,4,O&G,AC,4,RELINQ09/09/2014,59.0
0026708,4,O&G,AC,5,RELINQ09/09/2014,59.0
0019253,4,O&G,AC,6,EXPIR 11/30/2007,981.0
0035118,4,O&G,AC,6,RELINQ09/23/2016,56.0
0019254,4,O&G,AC,7,EXPIR 12/31/2007,981.0
0035119,4,O&G,AC,7,RELINQ09/23/2016,56.0
0019255,4,O&G,AC,8,EXPIR 12/31/2007,981.0
0035120,4,O&G,AC,8,RELINQ09/23/2016,56.0
0024524,4,O&G,AC,9,RELINQ11/27/2007,2806.0
0035121,4,O&G,AC,9,RELINQ09/23/2016,56.0
0024525,4,O&G,AC,10,RELINQ11/27/2007,2806.0
0035122,4,O&G,AC,10,RELINQ09/23/2016,56.0
0025703,4,O&G,AC,11,RELINQ11/14/2013,59.0
0019256,4,O&G,AC,12,EXPIR 12/31/2007,2806.0
0019257,4,O&G,AC,13,REJECT,
0020819,4,O&G,AC,13,RELINQ10/19/2007,2806.0
0019258,4,O&G,AC,14,EXPIR 11/30/2007,276.0
0035123,4,O&G,AC,14,RELINQ11/29/2017,59.0
0025704,4,O&G,AC,15,EXPIR 11/30/2014,59.0
0025705,4,O&G,AC,16,EXPIR 11/30/2014,59.0
0019259,4,O&G,AC,17,EXPIR 12/31/2007,276.0
0019260,4,O&G,AC,18,EXPIR 12/31/2007,276.0
0032915,4,O&G,AC,18,RELINQ06/16/2016,59.0
0019261,4,O&G,AC,19,EXPIR 12/31/2007,276.0
0032916,4,O&G,AC,19,RELINQ06/16/2016,59.0
0009248,4,O&G,AC,20,EXPIR 09/30/1997,1680.0
0020820,4,O&G,AC,20,RELINQ11/19/2003,1138.0
0030891,4,O&G,AC,20,RELINQ11/18/2010,1513.0
0034702,4,O&G,AC,20,RELINQ10/24/2016,56.0
0012682,4,O&G,AC,21,TERMIN05/31/2005,276.0
0030892,4,O&G,AC,21,RELINQ10/06/2015,59.0
0014255,4,O&G,AC,22,EXPIR 10/31/2003,276.0
0014256,4,O&G,AC,23,EXPIR 10/31/2003,276.0
0010379,4,O&G,AC,24,TERMIN03/03/2025Y,276.0
0010380,4,O&G,AC,25,TERMIN12/08/2025Y,276.0
0010381,4,O&G,AC,26,TERMIN12/08/2025Y,276.0
0032917,4,O&G,AC,27,RELINQ11/12/2015,59.0
0036486,4,O&G,AC,27,RELINQ04/24/2025,2058.0
0020821,4,O&G,AC,28,RELINQ11/19/2003,1138.0
0032918,4,O&G,AC,28,RELINQ11/12/2015,59.0
0036487,4,O&G,AC,28,RELINQ04/24/2025,2058.0
0019262,4,O&G,AC,29,RELINQ11/23/2005,3.0
0034703,4,O&G,AC,29,EXPIR 03/31/2020,2277.0
0020822,4,O&G,AC,30,RELINQ09/23/2003,1138.0
0034704,4,O&G,AC,30,EXPIR 03/31/2020,2277.0
0032919,4,O&G,AC,31,RELINQ11/16/2016,276.0
0036734,4,O&G,AC,31,RELINQ09/11/2025,2058.0
0031142,4,O&G,AC,32,RELINQ10/20/2015,56.0
0017499,4,O&G,AC,33,RELINQ10/19/2005,276.0
0031143,4,O&G,AC,33,RELINQ10/20/2015,56.0
0020823,4,O&G,AC,34,RELINQ10/29/2007,981.0
0032920,4,O&G,AC,34,RELINQ10/14/2014,276.0
0035749,4,O&G,AC,34,EXPIR 11/30/2025,2277.0
0017500,4,O&G,AC,35,RELINQ10/19/2005,276.0
0035750,4,O&G,AC,35,EXPIR 11/30/2022,2277.0
0017501,4,O&G,AC,36,RELINQ10/19/2005,276.0
0036862,4,O&G,AC,36,PRIMRY08/01/2020,2277.0
0017502,4,O&G,AC,37,RELINQ10/19/2005,276.0
0031144,4,O&G,AC,37,RELINQ04/16/2014,2748.0
0020824,4,O&G,AC,38,RELINQ09/14/2005,981.0
0031145,4,O&G,AC,38,RELINQ04/16/2014,2748.0
0031146,4,O&G,AC,39,RELINQ04/16/2014,2748.0
0035926,4,O&G,AC,39,EXPIR 10/31/2023,2277.0
0017503,4,O&G,AC,40,RELINQ10/30/2000,2139.0
0031147,4,O&G,AC,40,RELINQ04/16/2014,2748.0
0032921,4,O&G,AC,41,RELINQ10/14/2014,276.0
0023361,4,O&G,AC,45,RELINQ11/27/2007,2806.0
0023362,4,O&G,AC,46,RELINQ11/27/2007,2806.0
0032922,4,O&G,AC,47,RELINQ10/28/2015,59.0
0032923,4,O&G,AC,48,RELINQ10/28/2015,59.0
0019263,4,O&G,AC,51,EXPIR 12/31/2007,981.0
0035124,4,O&G,AC,51,RELINQ09/23/2016,56.0
0019264,4,O&G,AC,52,EXPIR 12/31/2007,981.0
0035125,4,O&G,AC,52,RELINQ09/23/2016,56.0
0019265,4,O&G,AC,53,EXPIR 11/30/2007,981.0
0032924,4,O&G,AC,53,RELINQ11/17/2010,2813.0
0034705,4,O&G,AC,53,RELINQ09/23/2016,56.0
0025706,4,O&G,AC,54,RELINQ11/14/2013,59.0
0035518,4,O&G,AC,54,RELINQ09/23/2016,56.0
0025707,4,O&G,AC,55,RELINQ11/14/2013,59.0
0035519,4,O&G,AC,55,RELINQ09/23/2016,56.0
0019266,4,O&G,AC,58,EXPIR 12/31/2007,276.0
0035126,4,O&G,AC,58,RELINQ11/29/2017,59.0
0019267,4,O&G,AC,59,EXPIR 12/31/2007,276.0
0035127,4,O&G,AC,59,RELINQ11/29/2017,59.0
0019268,4,O&G,AC,60,EXPIR 11/30/2007,276.0
0035520,4,O&G,AC,60,RELINQ09/04/2018,3228.0
0019269,4,O&G,AC,61,EXPIR 11/30/2007,276.0
0035521,4,O&G,AC,61,RELINQ09/04/2018,3228.0
0025708,4,O&G,AC,62,EXPIR 11/30/2014,59.0
0025709,4,O&G,AC,63,EXPIR 11/30/2014,59.0
0023363,4,O&G,AC,64,EXPIR 10/31/2011,276.0
0034706,4,O&G,AC,64,RELINQ10/24/2016,56.0
0009249,4,O&G,AC,65,TERMIN02/07/2016Y,276.0
0015956,4,O&G,AC,66,EXPIR 10/31/2005,276.0
0015957,4,O&G,AC,67,EXPIR 10/31/2005,276.0
0023364,4,O&G,AC,68,EXPIR 09/30/2011,276.0
0023365,4,O&G,AC,69,EXPIR 09/30/2011,276.0
0023366,4,O&G,AC,70,EXPIR 09/30/2011,276.0
0033470,4,O&G,AC,71,RELINQ09/08/2016,56.0
0019270,4,O&G,AC,72,RELINQ11/23/2005,3.0
0033471,4,O&G,AC,72,RELINQ09/08/2016,56.0
0019271,4,O&G,AC,73,EXPIR 12/31/2007,276.0
0032925,4,O&G,AC,73,RELINQ11/12/2015,59.0
0034118,4,O&G,AC,74,REJECT03/12/2012,
0035522,4,O&G,AC,74,REJECT,
0032926,4,O&G,AC,75,RELINQ11/16/2016,276.0
0036735,4,O&G,AC,75,RELINQ09/11/2025,2058.0
0031148,4,O&G,AC,76,RELINQ10/20/2015,56.0
0036736,4,O&G,AC,76,RELINQ09/11/2025,2058.0
0017504,4,O&G,AC,77,RELINQ10/19/2005,276.0
0031149,4,O&G,AC,77,RELINQ10/20/2015,56.0
0017505,4,O&G,AC,78,RELINQ10/19/2005,276.0
0032927,4,O&G,AC,78,RELINQ10/14/2014,276.0
0035751,4,O&G,AC,78,EXPIR 11/30/2025,2277.0
0020825,4,O&G,AC,79,RELINQ10/29/2007,981.0
0035752,4,O&G,AC,79,EXPIR 11/30/2022,2277.0
0017506,4,O&G,AC,80,RELINQ10/19/2005,276.0
0036863,4,O&G,AC,80,PRIMRY08/01/2020,2277.0
0017507,4,O&G,AC,81,RELINQ10/19/2005,276.0
0031150,4,O&G,AC,81,RELINQ04/16/2014,2748.0
0036864,4,O&G,AC,81,PRIMRY08/01/2020,2277.0
0017508,4,O&G,AC,82,RELINQ09/14/2005,981.0
0031151,4,O&G,AC,82,RELINQ04/16/2014,2748.0
0035753,4,O&G,AC,82,EXPIR 10/31/2025,2277.0
0031152,4,O&G,AC,83,RELINQ04/16/2014,2748.0
0035754,4,O&G,AC,83,EXPIR 10/31/2022,2277.0
0032928,4,O&G,AC,84,RELINQ10/14/2014,276.0
0032929,4,O&G,AC,85,RELINQ10/14/2014,276.0
0017509,4,O&G,AC,89,RELINQ10/30/2003,78.0
0020826,4,O&G,AC,91,RELINQ11/27/2007,2806.0
0027677,4,O&G,AC,92,RELINQ03/06/2015,981.0
0027678,4,O&G,AC,93,RELINQ03/06/2015,981.0
0034707,4,O&G,AC,94,RELINQ10/28/2016,56.0
0027679,4,O&G,AC,95,RELINQ03/06/2015,981.0
0019272,4,O&G,AC,96,EXPIR 11/30/2007,981.0
0034708,4,O&G,AC,96,RELINQ09/23/2016,56.0
0019273,4,O&G,AC,97,EXPIR 11/30/2007,981.0
0034709,4,O&G,AC,97,RELINQ09/23/2016,56.0
0025710,4,O&G,AC,98,RELINQ11/14/2013,59.0
0033472,4,O&G,AC,100,RELINQ09/14/2016,2481.0
0019274,4,O&G,AC,101,EXPIR 11/30/2007,276.0
0033473,4,O&G,AC,101,RELINQ09/14/2016,2481.0
0019275,4,O&G,AC,102,EXPIR 11/30/2007,276.0
0019276,4,O&G,AC,103,EXPIR 11/30/2007,276.0
0019277,4,O&G,AC,104,EXPIR 11/30/2007,276.0
0034710,4,O&G,AC,105,RELINQ10/24/2016,56.0
0025711,4,O&G,AC,106,EXPIR 11/30/2014,59.0
0025712,4,O&G,AC,107,EXPIR 11/30/2014,59.0
0025713,4,O&G,AC,108,EXPIR 11/30/2014,59.0
0024526,4,O&G,AC,109,EXPIR 11/30/2013,59.0
0024527,4,O&G,AC,110,EXPIR 11/30/2013,59.0
0015958,4,O&G,AC,111,EXPIR 10/31/2005,276.0
0023367,4,O&G,AC,112,EXPIR 09/30/2011,276.0
0023368,4,O&G,AC,113,EXPIR 09/30/2011,276.0
0015959,4,O&G,AC,114,EXPIR 10/31/2005,276.0
0030893,4,O&G,AC,114,RELINQ09/05/2014,2815.0
0034119,4,O&G,AC,115,RELINQ01/15/2014,276.0
0019278,4,O&G,AC,116,RELINQ12/17/2001,2481.0
0034120,4,O&G,AC,116,RELINQ01/15/2014,276.0
0019279,4,O&G,AC,117,EXPIR 12/31/2007,276.0
0034121,4,O&G,AC,117,RELINQ01/15/2014,276.0
