Sale_Number,Lease_Number,Bid_Amount,Company_Number,Protraction_ID,Block_Number,Acreage,Source_Sale
247,0035930,178150,3247,LA2A,313,5000.0,Unknown
247,0035931,178150,3247,LA2A,320,5000.0,Unknown
247,0035932,137777,2961,LA3,232,4525.79,Unknown
247,0035933,147777,2961,LA3A,57,5432.34,Unknown
247,0035934,137777,2961,LA3A,59,5000.0,Unknown
247,0035935,137777,2961,LA3C,74,5000.0,Unknown
247,0035936,143000,3026,LA3C,189,5000.0,Unknown
247,0035937,132000,3035,LA4,176,5000.0,Unknown
247,0035938,6000,2417,LA4,253,156.25,Unknown
247,0035939,151000,2417,LA4,260,5000.0,Unknown
247,0035940,175000,2417,LA4A,313,5000.0,Unknown
247,0035941,140000,3109,LA4A,335,5000.02,Unknown
247,0035942,126000,3109,LA4A,355,5000.0,Unknown
247,0035943,126000,3109,LA4A,358,5000.0,Unknown
247,0035944,127777,1999,LA4A,392,5000.0,Unknown
247,0035945,207150,3247,LA5,110,5000.0,Unknown
247,0035946,76777,1999,LA5,118,2500.0,Unknown
247,0035947,158000,2828,LA5,153,5000.0,Unknown
247,0035948,150000,3035,LA5,205,5000.0,Unknown
247,0035949,138000,3109,LA5A,257,5000.0,Unknown
247,0035950,130022,3296,LA5A,366,5000.0,Unknown
247,0035951,609000,2417,LA8A,117,4999.97,Unknown
247,0035952,3350380,59,NH16-07,953,5760.0,Unknown
247,0035953,150000,3035,NH16-07,985,5760.0,Unknown
247,0035954,1619500,3165,NH16-07,992,5760.0,Unknown
247,0035955,761000,3065,NH16-07,993,5760.0,Unknown
247,0035955,761000,3165,NH16-07,993,5760.0,Unknown
247,0035956,1687777,59,NH16-07,995,5760.0,Unknown
247,0035957,1300260,2219,NH16-07,1002,5760.0,Unknown
247,0035957,824824,2058,NH16-07,1002,5760.0,Unknown
247,0035957,824824,2668,NH16-07,1002,5760.0,Unknown
247,0035957,824824,1999,NH16-07,1002,5760.0,Unknown
247,0035958,2151888,3296,NH15-12,746,5552.99,Unknown
247,0035959,280522,730,NH15-12,788,5760.0,Unknown
247,0035960,3886522,730,NH15-12,833,5760.0,Unknown
247,0035961,3630260,2219,NH16-10,40,5760.0,Unknown
247,0035961,752752,2668,NH16-10,40,5760.0,Unknown
247,0035961,752752,1999,NH16-10,40,5760.0,Unknown
247,0035961,752752,2058,NH16-10,40,5760.0,Unknown
247,0035962,5134285,2219,NH16-10,41,5760.0,Unknown
247,0035963,2560730,78,NH16-10,118,5760.0,Unknown
247,0035964,625260,2219,NH16-10,128,5760.0,Unknown
247,0035965,763367,78,NH16-10,248,5760.0,Unknown
247,0035966,361965,3296,NH16-10,366,5760.0,Unknown
247,0035967,4056719,689,NH16-10,388,5760.0,Unknown
247,0035967,1640115,78,NH16-10,388,5760.0,Unknown
247,0035968,591730,78,NH16-10,411,5760.0,Unknown
247,0035969,591730,78,NH16-10,412,5760.0,Unknown
247,0035970,605707,59,NH16-10,421,5760.0,Unknown
247,0035971,2560730,78,NH16-10,434,5760.0,Unknown
247,0035972,2620787,59,NH16-10,464,5760.0,Unknown
247,0035972,1372908,78,NH16-10,464,5760.0,Unknown
247,0035973,3722737,59,NH16-10,465,5760.0,Unknown
247,0035973,1740115,78,NH16-10,465,5760.0,Unknown
247,0035974,650719,689,NH16-10,479,5760.0,Unknown
247,0035975,1372908,78,NH16-10,508,5760.0,Unknown
